state,county,fips,adult_pop,observed_distress,loneliness_rate,access_to_exercise,social_associations,air_pollution,uninsured,unemployment_rate,providers_per_100k,log_median_hh_income,rucc_category
NC,McDowell,37111,"36,301",17.4,32.1,71.71474718,14.197719628,7.2,16.05307563,4.50685826,201.26574,10.829253254772802,mid
NC,Warren,37185,"15,503",17.2,34.1,28.99367021,13.31830755,8.0,20.359341880000002,7.7054528499999995,69.28899,10.709829480862416,rural
NC,Transylvania,37175,"28,383",14.5,28.7,84.95119141,16.522696968,6.8,18.275666479999998,4.09190838,313.5836,11.03063870601066,mid
NC,Yancey,37199,"15,582",16.6,30.7,100.0,8.2877507045,6.3,17.178347809999998,4.2917917899999996,223.9164,10.742875641568942,rural
NC,Anson,37007,"17,493",18.9,35.4,37.01654954,10.374735444,8.4,15.55952196,6.34952032,99.72801,10.615775376623457,metro
NC,Camden,37029,"8,653",16.1,30.7,31.511347179999998,10.014566642,6.6,15.09603842,3.94328755,36.9174,11.279251664682837,metro
NC,Orange,37135,"122,940",15.3,31.8,83.34924948,9.5252788827,8.5,10.0328372,3.45471522,744.20354,11.28745420664684,metro
NC,Gaston,37071,"184,354",17.4,33.2,75.87730266,12.711415557,9.5,15.685640119999999,5.1933864000000005,273.76373,10.933410495077375,metro
NC,Craven,37049,"80,675",16.7,33.9,73.1423749,12.248970197,6.5,15.973861950000002,4.6789374100000005,269.18569,10.961763839681364,mid
NC,Graham,37075,"6,517",16.8,32.2,100.0,11.800802455,6.6,21.69608265,6.8828590300000005,99.46537000000001,10.683889830383498,rural
NC,Pitt,37147,"137,875",18.2,35.0,78.47782288,9.6761496578,6.7,14.895949389999998,5.0414388400000005,443.16920999999996,10.781370041113963,metro
NC,Avery,37011,"15,011",16.8,30.6,100.0,18.211826305,6.4,19.03344022,3.9430894299999997,487.01299,10.788700328839422,rural
NC,Alleghany,37005,"9,426",16.4,30.5,36.93056576,10.720028587,6.9,19.79459997,4.61647727,235.31541,10.719714825653304,rural
NC,Halifax,37083,"37,177",18.4,35.9,51.637119,10.913720973,7.9,17.16220306,7.46649982,178.15711000000002,10.569879995787254,mid
NC,Robeson,37155,"86,828",20.1,33.4,42.28953917,11.000084616,7.8,25.55927591,7.566411200000001,259.61076,10.561344286317487,mid
NC,Catawba,37035,"129,398",16.7,33.1,59.77336405,14.160329867,8.3,16.24499251,4.66290738,249.19152,10.999446323738674,metro
NC,Mitchell,37121,"12,283",16.2,30.5,100.0,16.79994624,5.5,15.30810286,5.145074220000001,120.29673,10.801329140741753,rural
NC,Franklin,37069,"60,292",16.8,33.7,61.52129847,8.0713619728,8.5,17.39223117,4.70298573,115.75527000000001,11.061735739100111,metro
NC,Sampson,37163,"44,966",18.1,35.3,43.97147503,13.25297403,7.7,22.37867668,4.49708822,47.46567,10.784503376319144,mid
NC,Macon,37113,"31,394",15.8,29.4,100.0,16.391620826,6.9,18.98128456,4.2132809899999994,228.94259999999997,10.807827153290528,rural
NC,Caldwell,37027,"64,820",17.6,31.6,79.78475425,12.545676005,8.1,17.18040571,4.9411228000000005,90.72493,10.707840631169418,metro
NC,Yadkin,37197,"30,051",17.3,31.7,51.8622024,13.820598007,8.6,18.31017991,4.22617654,86.04001,10.942827429739166,metro
NC,Onslow,37133,"160,933",18.9,36.0,55.80273346,6.3743300824,6.3,14.2257352,5.12986015,259.02212,10.926747505407526,metro
NC,Pasquotank,37139,"32,807",17.1,33.3,41.8359298,10.898642624,6.6,16.1105858,5.38315,247.42166999999998,10.846712285650364,mid
NC,Jackson,37099,"37,282",18.3,34.4,98.74736134,13.171939227,6.6,23.93080049,4.5002052500000005,467.63419000000005,10.832733995570498,rural
NC,Wayne,37191,"90,368",17.9,32.9,55.80186307,13.632660305,7.8,18.74713959,5.024677410000001,243.07783999999998,10.818877879167118,metro
NC,Tyrrell,37177,"2,772",17.0,33.3,88.35130971000001,15.898251192,5.8,21.68809391,7.01480904,30.731410000000004,10.59588445170537,rural
NC,Brunswick,37019,"137,936",14.0,28.3,78.16420738,7.5148115594,6.3,13.456235520000002,5.99442465,115.10592,11.116707470218728,metro
NC,Harnett,37085,"105,764",18.1,33.6,57.304893390000004,7.5150666141,8.5,15.67402402,5.2868179,99.28953,11.03005541721757,mid
NC,Beaufort,37013,"35,939",16.5,32.5,62.59965959,11.259108194,6.6,16.48990096,4.80176664,191.14869000000002,10.82599889622334,mid
NC,Union,37179,"191,719",15.8,30.8,73.61069724000001,8.1369959356,9.1,13.371048120000001,3.90755961,136.26215,11.379999603260565,metro
NC,Nash,37127,"75,392",17.2,33.1,55.41539434,11.596158509,8.1,16.032928260000002,6.3249286399999995,143.94385,10.932320946596322,metro
NC,Rutherford,37161,"52,439",17.7,31.8,37.73198436,18.784662174,8.3,16.61906273,6.46985447,168.76722999999998,10.702727480606711,mid
